xflr5 v6.61

Plane name :        CAT
Polar name :        T1-7.0 m/s-VLM1
Freestream speed :   7.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -5.000     0.000   0.433317   0.017826   0.052248   0.070074  -0.000046  -0.000000   0.075375   0.000014   0.000014    7.0000     0.0684
   -4.000     0.000   0.519962   0.021884   0.047625   0.069509  -0.000046  -0.000000   0.063157   0.000014   0.000014    7.0000     0.0828
   -3.000     0.000   0.606346   0.026701   0.043099   0.069799  -0.000047   0.000000   0.050742   0.000014   0.000014    7.0000     0.0932
   -2.000     0.000   0.692406   0.032268   0.038660   0.070927  -0.000047   0.000000   0.038145   0.000014   0.000014    7.0000     0.1009
   -1.000     0.000   0.778073   0.038575   0.034434   0.073009  -0.000048   0.000001   0.025374   0.000014   0.000014    7.0000     0.1070
    0.000     0.000   0.863284   0.045611   0.031462   0.077073  -0.000048   0.000001   0.012444   0.000015   0.000015    7.0000     0.1119
    1.000     0.000   0.947974   0.053360   0.029959   0.083319  -0.000048   0.000001  -0.000623   0.000015   0.000015    7.0000     0.1160
    2.000     0.000   1.032079   0.061806   0.029675   0.091481  -0.000049   0.000001  -0.013803   0.000015   0.000015    7.0000     0.1194
    3.000     0.000   1.115538   0.070929   0.029797   0.100726  -0.000049   0.000002  -0.027079   0.000015   0.000015    7.0000     0.1224
    4.000     0.000   1.198287   0.080708   0.030100   0.110808  -0.000049   0.000002  -0.040436   0.000015   0.000015    7.0000     0.1250
    5.000     0.000   1.280269   0.091121   0.030545   0.121666  -0.000049   0.000002  -0.053854   0.000015   0.000015    7.0000     0.1272
    6.000     0.000   1.361422   0.102142   0.031127   0.133269  -0.000049   0.000002  -0.067321   0.000015   0.000015    7.0000     0.1293
    7.000     0.000   1.441691   0.113744   0.031998   0.145742  -0.000050   0.000003  -0.080819   0.000015   0.000015    7.0000     0.1312
    8.000     0.000   1.521019   0.125897   0.033121   0.159018  -0.000050   0.000003  -0.094329   0.000015   0.000015    7.0000     0.1329
    9.000     0.000   1.599352   0.138572   0.034489   0.173061  -0.000050   0.000003  -0.107832   0.000015   0.000015    7.0000     0.1345
   10.000     0.000   1.676638   0.151735   0.036201   0.187937  -0.000050   0.000004  -0.121315   0.000015   0.000015    7.0000     0.1359
   11.000     0.000   1.752826   0.165353   0.038067   0.203421  -0.000050   0.000004  -0.134760   0.000015   0.000015    7.0000     0.1373
   12.000     0.000   1.827867   0.179391   0.040265   0.219656  -0.000050   0.000004  -0.148144   0.000015   0.000015    7.0000     0.1387


