xflr5 v6.61

Plane name :        CAT V2
Polar name :        T1-12.0 m/s-VLM2
Freestream speed :  12.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.000     0.000   0.249122   0.010815   0.059165   0.069980  -0.000046  -0.000001   0.107788   0.000014   0.000014   12.0000    -0.0054
   -6.500     0.000   0.292008   0.011874   0.055229   0.067103  -0.000046  -0.000001   0.101746   0.000014   0.000014   12.0000     0.0184
   -6.000     0.000   0.334873   0.013125   0.051575   0.064700  -0.000046  -0.000001   0.095647   0.000014   0.000014   12.0000     0.0361
   -5.500     0.000   0.377709   0.014566   0.048414   0.062980  -0.000046  -0.000001   0.089501   0.000014   0.000014   12.0000     0.0499
   -5.000     0.000   0.420509   0.016198   0.045751   0.061948  -0.000047  -0.000001   0.083310   0.000014   0.000014   12.0000     0.0608
   -4.500     0.000   0.463262   0.018020   0.043159   0.061179  -0.000047  -0.000001   0.077058   0.000014   0.000014   12.0000     0.0697
   -4.000     0.000   0.505962   0.020032   0.040690   0.060722  -0.000047  -0.000000   0.070763   0.000014   0.000014   12.0000     0.0771
   -3.500     0.000   0.548601   0.022233   0.038249   0.060481  -0.000047  -0.000000   0.064421   0.000014   0.000014   12.0000     0.0833
   -3.000     0.000   0.591169   0.024622   0.035828   0.060450  -0.000048  -0.000000   0.058033   0.000014   0.000014   12.0000     0.0887
   -2.500     0.000   0.633658   0.027198   0.033495   0.060693  -0.000048  -0.000000   0.051602   0.000015   0.000014   12.0000     0.0933
   -2.000     0.000   0.676061   0.029960   0.031384   0.061344  -0.000048   0.000000   0.045133   0.000015   0.000015   12.0000     0.0974
   -1.500     0.000   0.718370   0.032907   0.029452   0.062358  -0.000048   0.000000   0.038623   0.000015   0.000015   12.0000     0.1010
   -1.000     0.000   0.760576   0.036037   0.027693   0.063730  -0.000048   0.000000   0.032071   0.000015   0.000015   12.0000     0.1041
   -0.500     0.000   0.802670   0.039349   0.026495   0.065844  -0.000049   0.000000   0.025477   0.000015   0.000015   12.0000     0.1070
    0.000     0.000   0.844646   0.042841   0.025633   0.068473  -0.000049   0.000001   0.018844   0.000015   0.000015   12.0000     0.1096
    0.500     0.000   0.886496   0.046511   0.024973   0.071484  -0.000049   0.000001   0.012174   0.000015   0.000015   12.0000     0.1120
    1.000     0.000   0.928210   0.050357   0.024452   0.074809  -0.000049   0.000001   0.005468   0.000015   0.000015   12.0000     0.1141
    1.500     0.000   0.969782   0.054378   0.024063   0.078440  -0.000049   0.000001  -0.001272   0.000015   0.000015   12.0000     0.1161
    2.000     0.000   1.011203   0.058570   0.023968   0.082539  -0.000049   0.000001  -0.008044   0.000015   0.000015   12.0000     0.1179
    2.500     0.000   1.052466   0.062932   0.023981   0.086913  -0.000049   0.000001  -0.014845   0.000015   0.000015   12.0000     0.1196
    3.000     0.000   1.093564   0.067461   0.024024   0.091485  -0.000050   0.000001  -0.021674   0.000015   0.000015   12.0000     0.1212
    3.500     0.000   1.134488   0.072154   0.024077   0.096231  -0.000050   0.000002  -0.028528   0.000015   0.000015   12.0000     0.1226
    4.000     0.000   1.175231   0.077009   0.024190   0.101199  -0.000050   0.000002  -0.035404   0.000015   0.000015   12.0000     0.1240
    4.500     0.000   1.215786   0.082022   0.024387   0.106409  -0.000050   0.000002  -0.042300   0.000015   0.000015   12.0000     0.1253
    5.000     0.000   1.256145   0.087191   0.024545   0.111736  -0.000050   0.000002  -0.049213   0.000015   0.000016   12.0000     0.1265
    5.500     0.000   1.296301   0.092513   0.024706   0.117218  -0.000050   0.000002  -0.056142   0.000016   0.000016   12.0000     0.1277
    6.000     0.000   1.336247   0.097983   0.024872   0.122855  -0.000050   0.000002  -0.063084   0.000016   0.000016   12.0000     0.1287
    6.500     0.000   1.375975   0.103600   0.025050   0.128650  -0.000050   0.000002  -0.070036   0.000016   0.000016   12.0000     0.1298
    7.000     0.000   1.415480   0.109359   0.025234   0.134592  -0.000050   0.000003  -0.076996   0.000016   0.000016   12.0000     0.1308
    7.500     0.000   1.454753   0.115256   0.025481   0.140737  -0.000050   0.000003  -0.083961   0.000016   0.000016   12.0000     0.1317
    8.000     0.000   1.493788   0.121288   0.025845   0.147134  -0.000050   0.000003  -0.090927   0.000016   0.000016   12.0000     0.1326
    8.500     0.000   1.532578   0.127452   0.026196   0.153648  -0.000050   0.000003  -0.097893   0.000016   0.000016   12.0000     0.1335
    9.000     0.000   1.571117   0.133743   0.026572   0.160315  -0.000050   0.000003  -0.104863   0.000016   0.000016   12.0000     0.1344
    9.500     0.000   1.609399   0.140157   0.026971   0.167128  -0.000050   0.000003  -0.111835   0.000016   0.000016   12.0000     0.1352
   10.000     0.000   1.647416   0.146690   0.027388   0.174077  -0.000050   0.000003  -0.118803   0.000016   0.000016   12.0000     0.1360
   10.500     0.000   1.685163   0.153337   0.027808   0.181145  -0.000051   0.000004  -0.125766   0.000016   0.000016   12.0000     0.1367
   11.000     0.000   1.722634   0.160095   0.028274   0.188370  -0.000051   0.000004  -0.132717   0.000016   0.000016   12.0000     0.1375
   11.500     0.000   1.759822   0.166959   0.028846   0.195805  -0.000050   0.000004  -0.139655   0.000016   0.000016   12.0000     0.1382
   12.000     0.000   1.796722   0.173925   0.029384   0.203309  -0.000050   0.000004  -0.146578   0.000016   0.000016   12.0000     0.1389


