xflr5 v6.61

Plane name :        CAT
Polar name :        T1-10.0 m/s-VLM1
Freestream speed :  10.000 m/s


   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   -7.000     0.000   0.259516   0.012005   0.059680   0.071686  -0.000045  -0.000001   0.098808   0.000013   0.000013   10.0000     0.0105
   -6.000     0.000   0.346480   0.014532   0.054351   0.068884  -0.000046  -0.000001   0.087078   0.000014   0.000014   10.0000     0.0467
   -5.000     0.000   0.433317   0.017826   0.049349   0.067175  -0.000046  -0.000000   0.075128   0.000014   0.000014   10.0000     0.0684
   -4.000     0.000   0.519962   0.021884   0.044411   0.066296  -0.000046  -0.000000   0.062958   0.000014   0.000014   10.0000     0.0828
   -3.000     0.000   0.606346   0.026701   0.039520   0.066221  -0.000047   0.000000   0.050586   0.000014   0.000014   10.0000     0.0932
   -2.000     0.000   0.692406   0.032268   0.034829   0.067097  -0.000047   0.000000   0.038026   0.000014   0.000014   10.0000     0.1009
   -1.000     0.000   0.778073   0.038575   0.030757   0.069332  -0.000048   0.000001   0.025286   0.000014   0.000014   10.0000     0.1070
    0.000     0.000   0.863284   0.045611   0.028541   0.074152  -0.000048   0.000001   0.012383   0.000015   0.000015   10.0000     0.1119
    1.000     0.000   0.947974   0.053360   0.027344   0.080703  -0.000048   0.000001  -0.000654   0.000015   0.000015   10.0000     0.1160
    2.000     0.000   1.032079   0.061806   0.026971   0.088776  -0.000049   0.000001  -0.013805   0.000015   0.000015   10.0000     0.1194
    3.000     0.000   1.115538   0.070929   0.027047   0.097976  -0.000049   0.000002  -0.027053   0.000015   0.000015   10.0000     0.1224
    4.000     0.000   1.198287   0.080708   0.027286   0.107994  -0.000049   0.000002  -0.040382   0.000015   0.000015   10.0000     0.1250
    5.000     0.000   1.280269   0.091121   0.027677   0.118798  -0.000049   0.000002  -0.053774   0.000015   0.000015   10.0000     0.1272
    6.000     0.000   1.361422   0.102142   0.028117   0.130259  -0.000049   0.000002  -0.067215   0.000015   0.000015   10.0000     0.1293
    7.000     0.000   1.441691   0.113744   0.028821   0.142565  -0.000050   0.000003  -0.080689   0.000015   0.000015   10.0000     0.1312
    8.000     0.000   1.521019   0.125897   0.029733   0.155631  -0.000050   0.000003  -0.094176   0.000015   0.000015   10.0000     0.1329
    9.000     0.000   1.599352   0.138572   0.030720   0.169292  -0.000050   0.000003  -0.107662   0.000015   0.000015   10.0000     0.1345
   10.000     0.000   1.676638   0.151735   0.032018   0.183753  -0.000050   0.000004  -0.121128   0.000015   0.000015   10.0000     0.1359
   11.000     0.000   1.752826   0.165353   0.033540   0.198893  -0.000050   0.000004  -0.134557   0.000015   0.000015   10.0000     0.1373
   12.000     0.000   1.827867   0.179391   0.034965   0.214355  -0.000050   0.000004  -0.147940   0.000015   0.000015   10.0000     0.1387


